January,February,March,April,May,June,July,August,September,October,November,December
14,8,143,21,15,15,105,8,24,164,156,155
14,225,143,21,15,15,98,2,24,163,159,159
14,226,142,21,14,15,98,5,24,162,158,162
14,241,144,21,14,15,99,7,24,161,157,164
14,265,144,21,14,15,100,10,24,163,155,151
15,284,144,21,13,15,101,12,23,162,151,153
15,298,144,21,13,15,102,340,23,162,144,155
165,303,143,21,12,16,103,164,25,162,142,158
163,307,143,21,12,16,105,168,25,166,145,160
162,307,143,21,12,16,106,168,24,166,144,162
166,312,142,21,12,17,108,167,24,166,141,163
169,312,142,21,12,17,111,171,24,172,138,147
174,318,142,21,155,17,116,168,24,172,134,149
175,323,142,21,154,18,120,169,24,172,131,150
176,322,142,21,153,18,124,171,24,172,130,152
176,326,142,21,151,18,127,173,24,173,132,153
175,326,142,21,150,18,130,170,26,174,141,153
174,327,142,21,149,19,132,171,27,175,149,153
172,328,140,21,148,19,134,170,27,177,140,151
171,330,140,21,12,10,136,169,28,185,143,150
170,332,140,21,12,10,138,171,29,188,143,149
169,335,140,21,12,13,140,172,30,191,144,148
168,338,140,21,13,16,141,172,31,194,133,147
166,340,140,21,13,15,142,171,32,205,134,147
165,343,136,21,14,14,142,169,34,205,135,148
164,346,136,21,14,13,142,171,39,206,136,148
163,349,136,21,14,13,142,173,41,209,138,149
162,352,136,21,15,12,141,174,42,212,140,150
161,355,136,21,15,12,141,176,43,216,141,137
168,354,132,21,14,11,139,178,44,220,143,139
168,357,132,21,324,11,138,172,45,224,145,140
168,0,132,21,330,11,137,170,47,228,146,140
177,3,132,21,333,11,136,169,48,232,148,138
176,6,150,21,335,16,134,170,131,238,152,145
175,8,147,21,337,16,133,172,125,274,196,142
172,9,146,21,339,17,139,174,123,278,195,140
168,9,144,21,342,17,139,176,122,283,183,137
166,11,141,21,347,18,139,178,123,287,174,133
166,11,143,20,354,18,138,178,122,290,172,128
168,12,142,20,358,18,138,178,123,300,166,139
181,12,143,20,2,18,138,176,122,307,164,135
184,12,146,20,4,18,137,174,122,312,165,130
189,11,147,20,6,19,136,165,123,298,167,126
182,11,147,20,8,19,136,164,122,315,170,104
185,13,150,20,10,18,112,167,122,315,172,96
188,13,154,20,12,18,111,165,122,315,173,94
192,12,152,21,359,18,110,164,121,316,174,93
188,11,151,21,359,20,109,162,124,317,171,92
193,219,154,21,360,20,108,161,124,318,170,88
197,216,153,21,357,19,106,161,123,313,169,88
201,214,153,21,357,19,105,168,127,317,166,88
204,211,157,21,357,18,103,171,126,321,164,88
199,211,156,357,357,18,102,174,125,314,162,88
199,206,155,2,357,17,99,177,129,314,161,88
202,207,154,0,355,17,97,179,129,313,160,88
228,206,154,358,355,16,93,173,127,318,166,88
282,206,153,1,356,16,90,174,126,207,165,87
306,205,153,359,356,16,85,177,124,200,164,87
323,204,154,357,357,15,46,179,129,201,162,88
335,204,154,1,5,15,43,182,127,201,166,89
337,203,154,358,6,15,41,184,126,199,164,90
343,196,154,355,8,15,40,184,124,196,162,91
345,196,154,358,4,15,40,183,123,193,160,92
348,195,152,356,6,15,42,182,121,190,158,93
349,196,149,354,7,15,44,180,120,187,157,95
349,192,148,352,9,15,47,184,118,187,159,96
347,194,145,213,10,15,50,182,121,186,158,98
344,197,142,216,11,15,54,180,120,186,157,99
340,196,140,217,13,15,56,185,119,188,156,99
342,197,137,216,14,15,96,184,119,188,155,100
338,199,135,219,15,15,98,182,119,189,155,100
335,207,133,227,16,15,100,178,119,189,154,100
331,212,132,246,14,15,101,191,119,188,154,100
329,216,131,268,15,15,102,185,119,189,153,98
329,261,130,279,16,15,102,177,120,189,150,97
328,251,130,293,17,15,101,164,120,189,322,96
335,252,129,298,17,15,265,150,120,188,321,95
335,252,129,304,17,15,267,139,120,188,321,94
335,251,128,306,18,14,269,132,119,187,319,94
335,252,128,312,18,14,271,130,119,186,316,94
342,252,128,322,17,14,271,129,119,186,312,92
342,252,128,324,17,14,273,131,119,186,308,92
343,253,128,328,17,14,278,133,119,185,323,92
337,255,128,333,17,14,285,136,119,183,316,92
338,258,129,337,18,14,295,139,119,179,313,92
337,263,129,341,18,14,304,312,118,176,310,92
337,267,130,345,18,14,316,315,117,172,309,93
337,272,130,343,18,14,324,319,116,173,311,93
336,281,131,349,17,14,327,326,114,170,314,94
338,284,131,354,17,14,330,331,113,168,315,94
346,296,131,359,17,14,333,340,112,166,316,95
348,301,131,7,17,14,225,346,111,164,317,95
349,301,131,9,17,14,224,352,110,162,326,96
351,300,131,16,17,14,220,352,110,161,328,96
347,301,129,21,17,14,220,351,109,159,331,97
348,301,129,24,17,14,218,351,109,158,335,97
348,302,128,24,16,14,214,351,109,157,351,97
350,290,352,26,16,14,213,351,109,157,353,98
350,286,350,26,16,14,214,351,109,156,355,98
353,281,350,26,16,14,211,350,109,155,357,98
354,263,350,26,15,14,213,350,108,155,348,99
356,254,112,26,15,13,214,320,108,163,350,99
358,244,116,25,15,13,221,314,107,169,353,99
359,232,119,25,15,13,243,350,106,165,356,100
0,217,349,24,15,13,286,350,105,165,358,100
1,208,349,23,14,12,301,350,104,164,1,100
2,207,349,23,14,12,309,350,103,159,3,100
3,203,350,22,13,12,317,350,101,158,193,100
4,204,352,22,13,11,323,349,99,157,192,100
5,205,354,21,12,11,328,349,98,156,190,100
7,205,356,20,14,11,332,349,97,150,188,100
8,206,359,20,13,11,336,349,97,150,185,100
9,211,111,19,13,10,340,349,97,151,183,100
11,218,111,19,13,10,343,349,97,148,184,99
14,223,112,18,12,11,346,349,98,149,183,99
15,225,112,17,190,11,349,349,98,150,179,99
15,255,113,17,195,11,352,349,98,151,179,98
16,253,92,16,200,12,355,349,98,152,178,13
16,252,94,15,204,13,358,348,98,153,177,9
17,262,96,15,206,14,360,348,99,213,176,10
18,260,98,14,206,16,1,348,99,226,175,14
18,258,100,14,206,24,2,347,99,218,174,11
19,256,102,13,206,32,4,347,99,220,174,15
19,255,104,13,207,43,5,347,99,221,174,13
20,255,106,13,205,57,6,347,99,213,175,12
20,257,107,13,206,72,7,346,98,217,175,10
20,260,108,13,202,84,8,346,98,210,167,10
20,262,109,13,203,92,9,346,98,211,167,10
21,262,110,13,196,55,10,346,97,203,166,9
21,263,110,13,195,49,11,346,97,203,176,10
21,267,110,13,193,50,12,346,97,202,170,10
21,273,354,13,192,51,12,346,97,194,169,10
21,280,354,13,191,45,10,347,98,195,166,12
