January,February,March,April,May,June,July,August,September,October,November,December
1.539999962,2.129999876,1.829999924,2.139999866,1.029999971,0.969999969,1.039999962,0.479999989,0.879999995,2.180000067,1.769999981,1.569999933
1.539999962,2.139999866,1.789999962,2.119999886,1.00999999,0.939999998,1.059999943,0.459999979,0.859999955,2.089999914,1.679999948,1.620000005
1.549999952,2.159999847,1.75,2.089999914,1,0.909999967,1.059999943,0.439999998,0.839999974,2.00999999,1.610000014,1.659999967
1.569999933,2.200000048,1.709999919,2.069999933,0.98999995,0.879999995,1.059999943,0.429999977,0.829999983,1.929999948,1.539999962,1.699999928
1.620000005,2.359999895,1.669999957,2.039999962,0.98999995,0.849999964,1.039999962,0.409999996,0.810000002,1.849999905,1.559999943,1.719999909
1.709999919,2.629999876,1.620000005,2.00999999,0.969999969,0.829999983,1.029999971,0.399999976,0.789999962,1.779999971,1.659999967,1.74000001
1.839999914,3,1.559999943,1.9799999,0.959999979,0.810000002,1.00999999,0.389999986,0.769999981,1.709999919,1.819999933,1.75
2.039999962,3.289999962,1.5,1.949999928,1.019999981,0.799999952,1.00999999,0.419999987,0.75999999,1.679999948,1.75999999,1.769999981
2.25,3.50999999,1.439999938,1.909999967,1.029999971,0.799999952,1.049999952,0.479999989,0.75,1.639999986,1.679999948,1.809999943
2.480000019,3.689999819,1.379999995,1.879999995,1.029999971,0.810000002,1.120000005,0.569999993,0.74000001,1.610000014,1.649999976,1.849999905
2.669999838,3.9599998,1.319999933,1.839999914,1.029999971,0.819999993,1.149999976,0.649999976,0.74000001,1.569999933,1.689999938,1.860000014
2.849999905,4.279999733,1.25999999,1.809999943,1.039999962,0.839999974,1.169999957,0.709999979,0.74000001,1.519999981,1.75,1.870000005
3.029999971,4.610000134,1.209999919,1.769999981,1.049999952,0.870000005,1.169999957,0.75999999,0.74000001,1.480000019,1.799999952,1.870000005
3.119999886,4.859999657,1.149999976,1.74000001,1.039999962,0.909999967,1.169999957,0.769999981,0.74000001,1.429999948,1.919999957,1.860000014
