January,February,March,April,May,June,July,August,September,October,November,December
21,230,140,40,170,132,110,72,28,153,150,157
21,224,140,32,169,129,110,76,28,155,150,160
21,227,139,31,169,130,105,80,28,154,149,161
21,230,139,30,168,131,99,83,28,154,148,161
173,236,139,30,167,131,99,86,28,154,149,161
168,232,139,32,167,132,99,88,28,159,146,148
166,249,139,34,166,128,100,153,27,160,144,148
162,264,138,57,165,129,101,163,27,168,143,149
159,274,138,55,164,130,101,171,30,167,141,152
161,282,139,57,163,131,102,172,30,166,139,155
163,293,139,60,161,131,104,170,30,167,137,157
165,297,138,62,159,127,106,177,30,168,134,158
169,301,138,64,157,128,108,174,30,176,132,143
172,303,138,66,155,129,113,179,30,178,133,144
172,304,138,67,152,130,115,176,31,180,206,144
171,303,138,69,149,20,117,178,32,180,202,143
170,304,136,70,147,20,119,174,45,180,188,141
168,318,137,72,145,21,120,170,47,179,191,139
168,320,137,81,143,21,122,168,49,179,145,136
167,321,137,82,142,21,124,167,52,205,145,134
167,321,137,83,140,22,125,165,56,206,134,132
167,321,137,83,139,22,127,164,60,219,133,131
167,311,133,84,137,24,128,166,64,220,133,130
165,313,133,84,136,25,130,165,68,221,125,130
164,312,133,88,134,27,132,169,72,226,126,131
162,312,132,88,133,29,134,170,86,228,127,132
160,319,132,89,131,29,132,169,88,229,128,135
159,13,132,88,130,29,134,171,89,229,130,137
157,12,128,88,129,28,135,165,91,222,131,139
156,13,128,87,131,29,136,163,92,220,136,140
155,292,128,86,337,27,137,161,93,209,137,141
161,14,128,90,346,26,138,164,94,206,217,142
160,16,147,90,357,26,139,168,96,204,217,142
160,18,145,89,358,25,139,171,103,214,207,126
159,20,143,88,360,25,139,173,103,212,205,126
159,21,140,87,15,25,139,174,103,209,190,125
166,22,137,86,14,25,139,174,111,218,185,123
167,22,135,26,14,25,140,173,114,220,174,133
169,23,135,26,14,25,140,171,114,219,166,130
172,23,137,26,15,25,141,168,114,216,158,127
188,24,138,26,16,25,141,158,114,214,158,122
192,24,139,26,17,25,142,156,114,215,161,118
184,24,141,24,19,25,142,155,115,215,162,114
188,24,142,24,21,24,142,154,116,232,165,110
193,220,145,24,24,23,142,153,115,221,165,97
197,220,145,24,28,23,143,152,116,224,165,95
202,218,147,24,31,23,138,152,117,225,164,94
198,215,147,24,28,22,138,155,118,226,163,92
203,216,146,25,30,23,130,155,119,226,162,86
206,211,146,25,30,23,138,157,121,226,161,85
208,211,148,25,31,23,138,165,121,225,160,82
202,212,148,25,32,23,138,169,124,225,158,82
201,212,147,25,32,23,138,173,123,224,158,83
200,205,147,322,32,23,138,176,123,213,157,83
199,205,147,317,32,22,137,179,122,212,156,84
208,205,147,313,32,22,137,183,120,214,155,84
208,204,147,311,33,22,136,187,119,210,160,84
208,203,147,24,33,21,136,190,117,207,158,85
209,202,147,31,33,20,110,182,121,203,156,85
310,202,147,28,33,20,107,193,121,201,155,84
321,202,147,26,33,20,104,193,120,197,153,85
327,203,146,26,19,19,103,191,119,194,152,86
344,204,144,233,20,19,105,187,118,189,152,87
344,197,141,208,20,19,108,184,117,186,151,88
324,199,141,207,21,19,112,182,116,183,153,89
320,200,138,209,22,19,115,180,115,185,152,90
317,194,135,213,19,19,119,178,116,185,152,91
314,194,132,217,20,19,121,175,115,186,151,92
311,191,130,221,21,19,123,173,115,185,151,94
309,189,127,222,22,20,134,170,114,185,151,94
306,187,126,224,23,20,135,166,114,185,150,95
303,186,124,222,24,20,136,163,114,185,150,94
300,183,123,213,25,20,137,160,114,186,147,94
307,180,122,214,26,20,137,158,114,184,146,94
305,251,122,215,27,20,138,155,113,184,330,92
305,253,124,217,24,21,142,154,113,184,330,91
311,243,123,254,25,20,144,153,113,184,328,91
311,244,123,260,25,20,145,152,113,184,328,91
312,244,123,266,26,20,145,151,113,181,138,90
311,245,121,264,26,20,206,151,113,180,137,90
322,232,121,276,26,20,211,151,113,179,136,90
320,232,121,290,26,20,204,150,114,185,135,90
318,233,121,299,26,19,198,150,114,184,134,87
316,233,121,309,25,19,202,150,113,182,277,87
315,232,122,315,25,19,202,149,113,179,288,87
313,249,122,322,25,19,197,149,113,174,290,87
310,253,122,330,25,19,305,149,112,170,299,88
307,256,123,337,25,19,332,149,111,167,303,88
307,260,123,342,25,20,353,145,110,164,307,89
307,253,123,351,25,20,7,144,109,162,306,89
321,259,124,25,23,20,13,143,107,160,305,89
321,265,124,25,23,20,218,142,106,153,303,90
322,268,124,26,23,20,219,140,105,152,312,90
323,262,123,27,23,20,219,130,104,151,299,91
325,264,124,26,23,20,216,129,103,151,298,91
327,266,123,28,23,20,210,127,103,150,298,91
329,266,123,30,23,20,212,332,102,149,114,92
330,265,122,31,23,20,214,332,102,149,112,92
347,261,120,34,23,20,215,337,101,149,109,92
347,257,106,34,22,23,215,335,101,169,106,93
347,250,102,34,21,23,213,331,101,164,102,93
358,235,99,34,21,22,211,331,101,166,97,93
359,229,98,34,21,22,209,332,100,162,106,93
0,225,353,34,21,21,208,333,100,160,101,93
354,214,351,33,21,21,250,334,99,153,210,93
356,205,349,32,191,21,276,335,98,153,203,94
357,201,348,32,189,20,289,337,97,153,197,94
350,202,348,30,197,20,293,340,97,152,192,94
350,203,349,29,191,20,309,344,96,148,187,94
350,205,351,29,199,54,322,348,91,147,184,95
352,206,354,28,205,54,339,352,90,147,183,94
347,205,357,29,202,59,342,58,90,143,187,94
350,205,1,28,208,60,344,94,90,143,181,94
28,204,6,27,212,61,345,98,90,144,179,94
29,211,105,27,212,63,354,360,90,145,170,94
29,223,107,27,213,67,355,360,91,144,170,94
29,224,107,26,213,73,358,359,91,145,170,94
30,235,108,26,210,94,1,359,92,217,170,94
30,235,108,25,208,105,5,359,93,212,170,94
30,235,98,25,210,113,9,359,93,214,171,13
30,235,99,24,209,117,19,309,94,216,172,10
31,235,100,23,209,121,20,308,94,219,213,19
31,236,101,23,209,123,20,306,94,222,199,16
31,237,102,22,206,124,21,303,94,217,201,24
31,238,103,208,206,125,21,299,94,219,190,30
31,237,104,214,206,125,22,297,94,213,189,35
