January,February,March,April,May,June,July,August,September,October,November,December
1.360000014,1.819999933,1.669999957,2.079999924,1.059999943,0.969999969,1.00999999,0.370000005,0.859999955,1.969999909,1.799999952,1.569999933
1.389999986,1.870000005,1.610000014,2.059999943,1.039999962,0.939999998,1.019999981,0.359999985,0.839999974,1.860000014,1.730000019,1.620000005
1.419999957,1.870000005,1.559999943,2.039999962,1.00999999,0.909999967,1.019999981,0.340000004,0.829999983,1.75999999,1.659999967,1.679999948
1.459999919,1.889999986,1.50999999,2.019999981,0.979999959,0.879999995,1.029999971,0.329999983,0.810000002,1.669999957,1.610000014,1.719999909
1.559999943,2.039999962,1.459999919,1.99000001,0.949999988,0.849999964,1.019999981,0.310000002,0.789999962,1.599999905,1.629999995,1.75
1.709999919,2.25,1.399999976,1.949999928,0.930000007,0.819999993,1.00999999,0.310000002,0.779999971,1.559999943,1.730000019,1.769999981
1.889999986,2.5,1.339999914,1.909999967,0.899999976,0.799999952,1,0.329999983,0.769999981,1.529999971,1.889999986,1.789999962
2.079999924,2.669999838,1.289999962,1.860000014,0.939999998,0.779999971,0.979999959,0.399999976,0.75999999,1.480000019,1.839999914,1.819999933
2.289999962,2.74000001,1.24000001,1.819999933,0.959999979,0.779999971,0.959999979,0.48999998,0.74000001,1.409999967,1.75,1.839999914
2.5,2.769999981,1.199999928,1.779999971,0.959999979,0.769999981,0.959999979,0.599999964,0.729999959,1.350000024,1.669999957,1.870000005
2.669999838,2.99000001,1.149999976,1.74000001,0.969999969,0.779999971,0.959999979,0.649999976,0.719999969,1.279999971,1.620000005,1.879999995
2.799999952,3.299999952,1.090000033,1.699999928,0.979999959,0.789999962,0.969999969,0.669999957,0.719999969,1.230000019,1.610000014,1.870000005
2.889999866,3.639999866,1.039999962,1.669999957,0.98999995,0.810000002,0.979999959,0.669999957,0.729999959,1.179999948,1.620000005,1.860000014
2.929999828,3.839999914,0.98999995,1.639999986,0.979999959,0.819999993,0.98999995,0.680000007,0.74000001,1.129999995,1.689999938,1.849999905
2.919999838,3.980000019,0.939999998,1.610000014,0.959999979,0.839999974,1,0.699999988,0.75,1.069999933,1.829999924,1.839999914
2.859999895,4.099999905,0.889999986,1.579999924,0.930000007,0.859999955,1,0.74000001,0.75,1.019999981,2.049999952,1.829999924
