January,February,March,April,May,June,July,August,September,October,November,December
1.669999957,0.719999969,1.429999948,0.629999995,0.610000014,0.409999996,0.379999995,1.589999914,0.839999974,0.299999982,3.199999809,1.459999919
1.719999909,0.699999988,1.539999962,0.610000014,0.599999964,0.409999996,0.379999995,1.5,0.889999986,0.280000001,3.599999905,1.419999957
1.789999962,0.689999998,1.649999976,0.589999974,0.610000014,0.409999996,0.379999995,1.409999967,0.959999979,0.280000001,3.919999838,1.389999986
1.870000005,0.689999998,1.75999999,0.569999993,0.620000005,0.399999976,0.379999995,1.329999924,1.049999952,0.310000002,4.179999828,1.350000024
1.929999948,0.779999971,1.879999995,0.550000012,0.610000014,0.399999976,0.370000005,1.25999999,1.129999995,0.310000002,4.210000038,1.319999933
1.99000001,0.930000007,2.00999999,0.529999971,0.599999964,0.389999986,0.370000005,1.209999919,1.199999928,0.299999982,4.130000114,1.299999952
2.049999952,1.139999986,2.139999866,0.50999999,0.589999974,0.389999986,0.359999985,1.159999967,1.269999981,0.289999992,3.9599998,1.279999971
2.149999857,1.25,2.25,0.5,0.569999993,0.379999995,0.349999994,1.159999967,1.350000024,0.289999992,3.929999828,1.269999981
2.25,1.319999933,2.359999895,0.48999998,0.560000002,0.370000005,0.340000004,1.169999957,1.469999909,0.280000001,3.980000019,1.25
2.369999886,1.360000014,2.450000048,0.48999998,0.550000012,0.370000005,0.340000004,1.209999919,1.599999905,0.289999992,4.059999943,1.24000001
2.399999857,1.389999986,2.50999999,0.48999998,0.550000012,0.379999995,0.349999994,1.299999952,1.689999938,0.280000001,3.909999847,1.24000001
2.409999847,1.419999957,2.559999943,0.529999971,0.560000002,0.379999995,0.349999994,1.409999967,1.75999999,0.25999999,3.679999828,1.230000019
2.389999866,1.449999928,2.579999924,0.589999974,0.560000002,0.389999986,0.359999985,1.50999999,1.799999952,0.25,3.419999838,1.230000019
2.220000029,1.5,2.609999895,0.620000005,0.569999993,0.389999986,0.359999985,1.569999933,1.829999924,0.25,3.220000029,1.220000029
2.019999981,1.559999943,2.619999886,0.639999986,0.569999993,0.399999976,0.349999994,1.610000014,1.849999905,0.299999982,3.029999971,1.209999919
1.809999943,1.610000014,2.639999866,0.659999967,0.569999993,0.409999996,0.349999994,1.629999995,1.870000005,0.379999995,2.849999905,1.209999919
1.809999943,1.589999914,2.74000001,0.649999976,0.569999993,0.419999987,0.340000004,1.709999919,1.919999957,0.50999999,2.559999943,1.209999919
1.699999928,1.559999943,2.809999943,0.639999986,0.569999993,0.439999998,0.319999993,1.75,1.969999909,0.629999995,2.339999914,1.220000029
1.579999924,1.539999962,2.859999895,0.610000014,0.560000002,0.449999988,0.299999982,1.769999981,2.00999999,0.75,2.169999838,1.24000001
1.589999914,1.549999952,2.839999914,0.599999964,0.560000002,0.449999988,0.280000001,1.75,2.029999971,0.819999993,1.9799999,1.25999999
1.599999905,1.579999924,2.789999962,0.599999964,0.569999993,0.459999979,0.25999999,1.699999928,2.039999962,0.870000005,1.799999952,1.279999971
1.679999948,1.629999995,2.710000038,0.589999974,0.579999983,0.459999979,0.25,1.629999995,2.029999971,0.909999967,1.629999995,1.299999952
1.719999909,1.679999948,2.569999933,0.610000014,0.599999964,0.459999979,0.239999995,1.49000001,2.039999962,0.979999959,1.480000019,1.319999933
1.709999919,1.74000001,2.399999857,0.669999957,0.629999995,0.459999979,0.229999989,1.309999943,2.059999943,1.069999933,1.339999914,1.360000014
1.669999957,1.799999952,2.230000019,0.74000001,0.659999967,0.459999979,0.229999989,1.159999967,2.079999924,1.169999957,1.230000019,1.409999967
1.610000014,1.929999948,2.069999933,0.859999955,0.689999998,0.459999979,0.229999989,1.059999943,2.109999895,1.279999971,1.120000005,1.459999919
1.539999962,2.099999905,1.929999948,1.039999962,0.719999969,0.459999979,0.239999995,0.949999988,2.159999847,1.389999986,1.019999981,1.519999981
1.459999919,2.289999962,1.819999933,1.25999999,0.74000001,0.459999979,0.269999981,0.859999955,2.220000029,1.5,0.939999998,1.579999924
1.429999948,2.00999999,1.74000001,1.399999976,0.779999971,0.449999988,0.280000001,0.810000002,2.269999981,1.569999933,0.870000005,1.620000005
1.409999967,1.689999938,1.669999957,1.5,0.819999993,0.459999979,0.289999992,0.769999981,2.299999952,1.620000005,0.819999993,1.689999938
1.409999967,1.409999967,1.610000014,1.569999933,0.870000005,0.459999979,0.310000002,0.719999969,2.319999933,1.649999976,0.789999962,1.779999971
1.449999928,1.25,1.549999952,1.480000019,0.909999967,0.459999979,0.329999983,0.689999998,2.339999914,1.75999999,0.779999971,1.839999914
1.50999999,1.169999957,1.5,1.339999914,0.959999979,0.469999999,0.340000004,0.659999967,2.359999895,1.899999976,0.789999962,1.879999995
1.579999924,1.159999967,1.449999928,1.189999938,1,0.469999999,0.340000004,0.629999995,2.369999886,2.059999943,0.819999993,1.889999986
1.679999948,1.169999957,1.389999986,1.129999995,1.019999981,0.469999999,0.329999983,0.599999964,2.389999866,2.159999847,0.829999983,1.889999986
1.779999971,1.209999919,1.350000024,1.129999995,1.019999981,0.479999989,0.329999983,0.560000002,2.389999866,2.230000019,0.849999964,1.889999986
1.889999986,1.25999999,1.309999943,1.159999967,1.00999999,0.479999989,0.319999993,0.519999981,2.369999886,2.279999971,0.849999964,1.889999986
1.99000001,1.25999999,1.289999962,1.179999948,1.00999999,0.479999989,0.319999993,0.48999998,2.349999905,2.309999943,0.819999993,1.899999976
2.069999933,1.24000001,1.279999971,1.199999928,1.00999999,0.469999999,0.349999994,0.459999979,2.329999924,2.329999924,0.769999981,1.909999967
2.159999847,1.209999919,1.269999981,1.220000029,1.00999999,0.459999979,0.389999986,0.429999977,2.319999933,2.349999905,0.709999979,1.929999948
2.180000067,1.209999919,1.269999981,1.309999943,0.98999995,0.449999988,0.399999976,0.409999996,2.349999905,2.289999962,0.699999988,1.949999928
2.230000019,1.230000019,1.269999981,1.370000005,0.979999959,0.439999998,0.389999986,0.379999995,2.419999838,2.269999981,0.669999957,1.9799999
2.25999999,1.279999971,1.269999981,1.429999948,0.959999979,0.429999977,0.379999995,0.359999985,2.480000019,2.25,0.629999995,2.00999999
